task, possible_a, possible_a_nb_queries, possible_b, possible_b_nb_queries, impossible, impossible_nb_queries
g7land, 1.8707426764391973E-6, 200, 1.0198655254445838E-6, 500, 2.3304026933212945E-6, 500
g4land, 1.4863468999273605E-6, 500, 1.8415034011896765E-6, 500, 4.118639786633507E-6, 500
bland, 2.6969737989088993E-5, 500, 1.0012757121966021E-4, 300, 4.3430736020134396E-5, 500
blor, 1.4927027183358444E-5, 220, 4.112985130637096E-5, 500, 1.5348629407622822E-5, 500
